gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
982	INHBB	-4.8909555348152995	1.6932542999567566	-81.95631605158233	7.015251996158046e-11	8.373639962225306e-7	12.739191336038397
12458	THY1	-4.794852498132007	1.8579832363483415	-76.13526687282896	1.1216448948128465e-10	8.373639962225306e-7	12.60919270773885
5069	GRIK5	-2.993359622593039	1.2455511915626662	-51.504595347126234	1.3503742918035437e-9	6.720812850306237e-6	11.643970325465732
10920	SCNN1A	-4.908992094754868	1.9914690619418396	-44.85270535449139	3.254031284729375e-9	1.2146485278073575e-5	11.17697984739681
12271	PTPRU	-2.608910576116546	1.1147744636932924	-39.77791040375516	6.979759436325343e-9	2.0842957628754738e-5	10.71518882555115
5423	KCNF1	-2.637909355509887	0.9569261625709413	-36.38961653459281	1.228554904622634e-8	2.380829348786418e-5	10.339405178155952
2050	IER3	5.270997345589317	5.49392820779825	35.762353546040046	1.3719304449433822e-8	2.380829348786418e-5	10.262767293556896
14740	NAPRT1	-2.9316889990737987	3.2390941209060244	-35.6972419490003	1.3878924375559869e-8	2.380829348786418e-5	10.254674709265663
13036	REC8	-3.9812435540337106	2.1931204951199974	-35.50963215312089	1.435099064970716e-8	2.380829348786418e-5	10.231209955935531
5270	NLRP2	-2.865170316573838	1.1013629608164708	-33.80975097195298	1.959186330591885e-8	2.9252611102067435e-5	10.008226771524226
10742	SP8	-2.437942580088181	0.8903371290203752	-31.036493958287608	3.371232101109952e-8	4.575987863788426e-5	9.600069728614242
14358	CD14	-1.8546239414175432	0.9013804677539823	-29.42852450092646	4.7227036934146926e-8	5.8762240705312315e-5	9.334624141777129
3914	SMO	-2.6726638517937813	1.1234925965926572	-27.486056863194328	7.277144665804787e-8	8.017406782500788e-5	8.981434992996766
4427	IL32	5.003736024026299	6.778287260763671	27.345285130075393	7.517493466948699e-8	8.017406782500788e-5	8.954332018602072
10606	NFIA	-2.196346150566401	0.8098391494477765	-26.422056009641878	9.34193879774737e-8	9.298965879277732e-5	8.771156122036922
8427	DENND2A	2.1974912754166764	4.636975529633496	26.09797947078316	1.010025807756518e-7	9.425434584757857e-5	8.704546731082102
6329	TRIB2	-1.8818298235048236	1.2405535546817148	-25.417519619715172	1.1936315675001649e-7	9.987807821508938e-5	8.560589652872315
12377	FLNC	3.468847204931753	5.620767897659338	25.369894865459422	1.2078650130641226e-7	9.987807821508938e-5	8.550300764946774
759	ASB7	3.6180195849980903	4.058219336497699	25.16629248738385	1.2709687804478589e-7	9.987807821508938e-5	8.505991936696027
10853	AMIGO2	-2.584040245225117	1.0916490628505273	-24.714821076414665	1.4249840688688315e-7	1.063821856614026e-4	8.405842588835357
8460	RAPGEF3	-1.6593066797385285	3.3861618336170474	-24.250591067989458	1.6063004516070407e-7	1.0976906601895479e-4	8.300054323277946
1378	MPV17L	-1.7569513890935122	0.6412788559534186	-24.170752439019164	1.6401026829600577e-7	1.0976906601895479e-4	8.281566241075183
12602	SDPR	-2.351155327455883	2.4205078844627947	-24.05427147628053	1.6909038366056929e-7	1.0976906601895479e-4	8.254435194069341
1899	KCNK5	-1.5795610795114994	0.670212108106672	-23.706435364065857	1.8537771598198828e-7	1.1532811155529445e-4	8.172285825766354
10787	KLK7	-1.9296924155841555	0.8983720061319018	-23.164196690939676	2.1452493265828996e-7	1.2327417249504566e-4	8.04075328935892
526	MSI1	-1.708123097486391	0.6517207929455061	-23.161840223599153	2.1466268065576234e-7	1.2327417249504566e-4	8.040172221417569
4845	NGEF	-2.2126500371186193	1.6521361094261877	-22.894486610661325	2.3097588194981654e-7	1.2449206363680386e-4	7.9737040722411905
2123	SMTN	2.103503551973414	3.4998462540167132	22.855707464361608	2.3345909730296082e-7	1.2449206363680386e-4	7.9639728458899
5264	VWA3B	1.4393447081258535	1.2210836388767237	22.68745482176017	2.4459657259562183e-7	1.2593349742845617e-4	7.921483613882552
10836	GLDC	-2.088767095378978	0.9965730577316345	-22.097028115319365	2.888383592660665e-7	1.362071871747654e-4	7.768858551171579
118	LPCAT3	-1.3972795531375564	2.6123796824616083	-22.06496472234509	2.914941038596434e-7	1.362071871747654e-4	7.760409693909111
3933	AK4	-2.494298720733462	1.83779846455956	-22.059876292157007	2.9191815615782555e-7	1.362071871747654e-4	7.759067321294804
2798	MKX	-1.3291994686926767	0.5154615365040819	-21.793191443244652	3.1517373469377814e-7	1.40945684402296e-4	7.6881153000528375
14547	FLOT1	-2.5801736683499197	5.088805481678673	-21.6511687215802	3.2842841666841065e-7	1.40945684402296e-4	7.649845113495445
8493	PAX9	-1.830264491645036	1.5980322226305415	-21.630681804937154	3.3039307173533985e-7	1.40945684402296e-4	7.644296455168437
422	RCOR2	-1.3281057615269702	0.6122962043499948	-21.469345116220424	3.46348389362813e-7	1.436479944882267e-4	7.600349856442241
9612	LTBR	-1.4984708512603682	5.337990200991149	-21.25014762529374	3.6947328836088257e-7	1.4909745050044156e-4	7.539922483984883
1781	CLDN11	-1.630344495833988	0.6665041136018437	-20.950959706965246	4.0397602295445315e-7	1.5764051891197818e-4	7.456078227283225
13064	FAM101A	2.743943936569471	4.432723702817313	20.887540470473567	4.117594426071361e-7	1.5764051891197818e-4	7.438099728353476
2086	PPP1R14C	-2.1043237447293843	0.8410404240508589	-20.745854369799904	4.2978261739018397e-7	1.6042710650632092e-4	7.397669516237219
6680	UPK1B	-2.2978107367409297	1.0488195958559414	-20.32204240133518	4.893832121152501e-7	1.7821904244128778e-4	7.274515276979079
6829	HIST1H2BH	-1.5503031530305127	2.1209178897144048	-20.078820053939527	5.278810170755812e-7	1.8766170157036912e-4	7.20229896226483
5209	CLIC4	3.0105537458834712	7.345419256959629	19.82377702421024	5.7205810057267235e-07	1.9625158389303444e-4	7.125333379744745
3452	CXXC5	-3.158393660839436	2.2806286854862368	-19.7894089242967	5.783316382890306e-7	1.9625158389303444e-4	7.114863346152957
14010	IGFBP2	-1.4595529410690402	0.5796010483767701	-19.585143843373118	6.172995577630455e-7	2.048199932657785e-4	7.052144623005468
6663	METRN	-2.4507955495159166	1.2345557878383353	-19.45650255199966	6.433957826095857e-7	2.0883787891616792e-4	7.01220990883831
3674	SYT7	-2.4172259234303324	2.1837700035106966	-19.348142572825523	6.663696478045412e-7	2.1169287683765116e-4	6.978306181310691
12101	CPSF1	-1.1205769834650363	4.983196596512876	-19.184903842258283	7.027907424856091e-7	2.1602651389287188e-4	6.926768654763322
7107	GABRB3	1.2139327042893993	2.151840813923343	19.109686125306506	7.20343092279874e-7	2.1602651389287188e-4	6.902831526697849
9141	PCDH1	-2.5228636818174475	2.827302444203314	-19.096735019279734	7.234160936738058e-7	2.1602651389287188e-4	6.8986978347389165
