ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	180	-0.4967192255069515	-1.9715045579271924	3.52887562493953e-7	1.764437812469765e-5
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	170	-0.4583229695081788	-1.8032873914872265	8.32627829903496e-5	0.00208156957475874
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	181	0.36203800829113575	1.5551419864306841	3.812047757446855e-4	0.006353412929078092
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	119	-0.4324957571965043	-1.6186667532447903	0.002152512439614134	0.026906405495176672
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	140	0.3518657423445076	1.4610658681306385	0.004663874023522079	0.04663874023522079
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	134	0.3439617713003498	1.4210477042470255	0.009813203148525225	0.08177669290437688
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	35	-0.5445554506188148	-1.6925521890763044	0.014910701356345224	0.10650500968818018
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	160	0.3235797786669455	1.3607923382456695	0.01724744787362261	0.10779654921014131
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	197	0.2916984429186904	1.2714844868965423	0.03528491713317731	0.19602731740654059
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	107	-0.36847225123758576	-1.3485521038018213	0.050078247261345854	0.25039123630672927
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	30	-0.4973661620888168	-1.4867843787432165	0.05699481865284974	0.2590673575129534
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	181	-0.3285189801548272	-1.303936021249587	0.07005494505494506	0.2694420963651733
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	165	-0.32962390578061157	-1.2915253015712256	0.06515580736543909	0.2694420963651733
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	185	-0.3177934683499899	-1.2626690890005694	0.0942622950819672	0.3366510538641686
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	65	-0.37566944986697826	-1.294888624125168	0.109717868338558	0.3428465530022239
