ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	197	0.6716955114176419	2.3527279517673563	4.667703802326055e-16	2.3338519011630277e-14
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	195	0.5121412614886557	1.7946320205575055	8.712793639119986e-6	1.0965247448318443e-4
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	191	0.5149583278002239	1.793088935414499	6.8328065314862716e-6	1.0965247448318443e-4
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	191	0.5110700012142517	1.7795497517520698	1.0965247448318444e-5	1.0965247448318443e-4
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	193	0.5065836070181513	1.769662082614451	1.016014543822053e-5	1.0965247448318443e-4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	-0.5099895576783698	-1.6896528282713497	1.277858832919743e-4	0.0010648823607664526
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	191	0.4629965687675623	1.6121576830078272	3.736036550108379e-4	0.0026685975357916996
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	194	0.45132118215387856	1.5786831827972294	5.952307560952517e-4	0.003720192225595323
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	195	-0.47328268578151206	-1.5694901128349135	9.018868724685244e-4	0.005010482624825135
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	57	0.5639501837081407	1.6484263885004107	0.0030406262520653784	0.015203131260326892
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	192	0.42438529023044336	1.482365057678542	0.003960602559297651	0.018002738905898416
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	192	0.42163240095715704	1.4727492982252353	0.004466203399755838	0.018609180832315993
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	196	0.3969034424156413	1.3876014751282708	0.012900825971429011	0.04961856142857312
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	191	-0.4084265618593013	-1.3528096649515624	0.02465073315213486	0.08803833268619594
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	80	0.4563043185203963	1.422601355610367	0.02663470542167534	0.08878235140558446
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	190	0.370167439971948	1.2879548968289383	0.029231101300643242	0.09134719156451013
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	158	0.3796354192994766	1.3115105429198386	0.0409677302347832	0.1204933242199506
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	193	0.3586095781668778	1.2527404443261976	0.05839156452412477	0.16219879034479104
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	31	-0.5911450174205111	-1.5135194367000304	0.061998768110766725	0.16315465292307035
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	73	0.4332585472223548	1.3232359500578459	0.06585365853658537	0.16463414634146342
