gene	PEO1_Adherent_1.tpm	PEO1_Adherent_2.tpm	PEO1_Clone10.tpm	PEO1_Clone18.tpm	PEO1_Clone4.tpm	PEO1_Clone5.tpm
C14orf39	0.689563232524131	0.847225085850857	0.725267662778262	0.409947150834957	0.892769511949736	0.369792106579689
LMNB1	85.4635046996237	83.182113212645	52.8820309052624	51.0279122241449	49.2475630618216	49.4519375018525
SLC4A7	9.58656022063832	9.64562889176523	8.51943863789362	7.87667564336999	6.73134563880249	7.98375141600392
DLGAP4	21.3018779557653	16.0441128090755	21.5216011890274	28.2649001775061	27.9758148072281	26.0792662105518
C4orf19	1.65842609172045	1.36418890802029	2.3731734568099	2.78950239244098	2.71348652350446	3.38833390774947
RNF157	1.2532881379155	1.06959014083558	0.169442048321318	0.371340795050021	0.64092528011709	0.125312745258306
XKR4	NaN	NaN	0.00325126160356782	NaN	0.00138963410414843	NaN
ADAMTSL3	1.09706293582046	0.59466476215548	0.174882798420624	0.368316129719969	0.408881429090451	0.196055992812764
STAC	17.2167946679904	16.0558404634097	12.9146941057706	10.5507192427936	13.6339920419421	8.01184505686913
ROPN1B	0.135436602883822	0.161885601420997	NaN	0.0755340935385838	0.127941085361484	0.151170930787798
FAM186B	0.254271601885553	0.195806651704724	0.163694983682376	0.181206945589465	0.215242061255202	0.262035597962935
SDK1	0.457733625031115	0.379223254311215	0.717822207834932	0.36140109999222	0.471600729154055	0.333395406274005
GIMAP5	NaN	NaN	NaN	0.0840210703406718	0.142093440015426	0.10060318985526
DYNC2H1	3.28384635993339	2.90506322808067	2.17212985855878	3.17364586940953	2.18767832656944	4.2109514987316
AC093323.1	NaN	0.0349165022672739	NaN	NaN	NaN	NaN
HIST1H4C	0.409981282826029	0.858188730424563	0.158685069350039	0.144151812247129	0.176342893558479	0.275386081145965
C6orf132	9.86685893982145	8.5315507527632	12.5624869339151	9.55821559835648	9.52940755410761	8.15086985478077
TMEM134	10.510359933988	9.71864513089485	14.9123464214229	13.6168076346097	14.8596437648799	13.1146146934312
MAP2K5	4.8920388166387	4.91848633105663	5.15676392060091	5.93734039236709	5.31675779556213	5.03255480680718
AP1S3	4.88591847960172	5.75139499326042	3.3480334850293	3.60768470321924	3.55564504344831	5.3007492388317
TPBG	6.42617156916741	6.4244948091159	3.13737588919776	2.65436168334572	3.03737968191318	1.9731163871264
NMT2	5.9428898749754	5.03052049373807	7.10129382801015	9.47274279732615	10.4254590766463	11.1265977470599
JAK2	0.491458672329404	0.601809268377345	1.2246036217156	0.572087929978186	0.96175101174423	0.351850813564818
GNAS	302.595144054442	259.151409981713	115.890173162201	113.134822128172	99.1537469766436	114.366215448976
ABHD14B	6.7381150749626	6.15702912858383	9.18639867859176	10.5626252293808	9.5429886459885	9.29227592685652
EXOSC1	21.8165571317374	22.5184174016372	24.1382670505519	21.2737920671139	20.4882124846967	22.2939501187146
