collection	pathway	NES	pval	padj	size	leadingEdge
HALLMARKS	HALLMARK_ESTROGEN_RESPONSE_LATE	1.6146101528115515	6.371474900067072e-4	0.02947606981171625	181	
HALLMARKS	HALLMARK_KRAS_SIGNALING_DN	1.606691396592428	0.0022077235638283763	0.02947606981171625	129	
HALLMARKS	HALLMARK_XENOBIOTIC_METABOLISM	1.5569874508532169	0.0026066098133806317	0.02947606981171625	162	
HALLMARKS	HALLMARK_E2F_TARGETS	1.491915197626978	0.002947606981171625	0.02947606981171625	200	
HALLMARKS	HALLMARK_IL2_STAT5_SIGNALING	-1.4820396285141746	0.0027306472332898376	0.02947606981171625	171	
HALLMARKS	HALLMARK_P53_PATHWAY	1.5020149795117774	0.004678480518899432	0.0334177179921388	196	
HALLMARKS	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.4764254275227613	0.004331807670000253	0.0334177179921388	188	
HALLMARKS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.4646073019780084	0.00545126358471942	0.034070397404496376	187	
HALLMARKS	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.4738900725478286	0.009225717575388903	0.051253986529938345	112	
HALLMARKS	HALLMARK_MTORC1_SIGNALING	-1.358002613458371	0.012377586230147302	0.06188793115073651	196	
HALLMARKS	HALLMARK_APICAL_JUNCTION	1.400535504190544	0.01916352263930346	0.08710692108774301	179	
HALLMARKS	HALLMARK_ANGIOGENESIS	-1.5746579490056725	0.02641095809890628	0.11004565874544285	29	
HALLMARKS	HALLMARK_APOPTOSIS	1.3491319652800233	0.040403874538905496	0.15539951745732883	149	
HALLMARKS	HALLMARK_FATTY_ACID_METABOLISM	1.3048495387156944	0.055865921787709494	0.19952114924181963	140	
HALLMARKS	HALLMARK_HYPOXIA	-1.2466274740950665	0.06334841628959276	0.21116138763197587	188	
HALLMARKS	HALLMARK_MYOGENESIS	-1.2761410759128895	0.06802721088435375	0.21258503401360546	157	
HALLMARKS	HALLMARK_PROTEIN_SECRETION	-1.3063083799383162	0.08067940552016985	0.22410945977824956	95	
HALLMARKS	HALLMARK_KRAS_SIGNALING_UP	1.2578253002513515	0.0766488413547237	0.22410945977824956	170	
HALLMARKS	HALLMARK_ALLOGRAFT_REJECTION	-1.227318765314186	0.10683760683760683	0.2811515969410706	138	
HALLMARKS	HALLMARK_NOTCH_SIGNALING	1.3099543182237674	0.12341197822141561	0.308529945553539	30	
HALLMARKS	HALLMARK_UV_RESPONSE_UP	1.1850645612919042	0.1431095406360424	0.32524895599100545	152	
HALLMARKS	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.1622762568090526	0.1373913043478261	0.32524895599100545	199	
HALLMARKS	HALLMARK_INFLAMMATORY_RESPONSE	-1.1676543002139401	0.15246636771300448	0.3314486254630532	160	
HALLMARKS	HALLMARK_COAGULATION	1.1766532986730238	0.16759776536312848	0.34916201117318435	107	
HALLMARKS	HALLMARK_APICAL_SURFACE	1.1714020244536634	0.224105461393597	0.43490078825767875	39	
HALLMARKS	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.1080414961009115	0.22614840989399293	0.43490078825767875	190	
HALLMARKS	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.1496912372424122	0.2523540489642185	0.45063223029324734	39	
HALLMARKS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-1.1427015670026326	0.24733475479744135	0.45063223029324734	71	
HALLMARKS	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.0658681857955388	0.30319148936170215	0.5227439471753486	175	
HALLMARKS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.0727868316689646	0.32136105860113423	0.5356017643352238	99	
HALLMARKS	HALLMARK_HEDGEHOG_SIGNALING	-1.0878083126062412	0.3383947939262473	0.5457980547197536	33	
HALLMARKS	HALLMARK_MYC_TARGETS_V2	1.0264545545537211	0.41923076923076924	0.6195887445887446	57	
HALLMARKS	HALLMARK_PEROXISOME	-1.024545629068317	0.4043010752688172	0.6195887445887446	94	
HALLMARKS	HALLMARK_UV_RESPONSE_DN	-1.014078353807027	0.4226579520697168	0.6195887445887446	142	
HALLMARKS	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.0056013424796553	0.4337121212121212	0.6195887445887446	96	
HALLMARKS	HALLMARK_ANDROGEN_RESPONSE	0.9994768751718607	0.45265151515151514	0.6225326450045551	96	
HALLMARKS	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.9969609949525264	0.4606741573033708	0.6225326450045551	68	
HALLMARKS	HALLMARK_MITOTIC_SPINDLE	0.9701744578095546	0.5165217391304348	0.6622073578595318	199	
HALLMARKS	HALLMARK_TGF_BETA_SIGNALING	0.9589250404173544	0.5097276264591439	0.6622073578595318	53	
HALLMARKS	HALLMARK_BILE_ACID_METABOLISM	-0.9531901547407738	0.5599128540305011	0.6998910675381264	89	
HALLMARKS	HALLMARK_PANCREAS_BETA_CELLS	-0.8921652966552649	0.6132478632478633	0.7478632478632479	24	
HALLMARKS	HALLMARK_HEME_METABOLISM	-0.9250885210500083	0.6781609195402298	0.7918552036199096	178	
HALLMARKS	HALLMARK_COMPLEMENT	-0.9155201791959354	0.6809954751131222	0.7918552036199096	171	
HALLMARKS	HALLMARK_ADIPOGENESIS	-0.9082674530306597	0.7139588100686499	0.8113168296234659	193	
HALLMARKS	HALLMARK_GLYCOLYSIS	0.8706301551436385	0.8091872791519434	0.8795513903825471	190	
HALLMARKS	HALLMARK_SPERMATOGENESIS	0.8214366416741908	0.7959927140255009	0.8795513903825471	90	
HALLMARKS	HALLMARK_G2M_CHECKPOINT	-0.7775111825940864	0.9625292740046838	0.9982608695652174	198	
HALLMARKS	HALLMARK_DNA_REPAIR	0.732703828702511	0.9835466179159049	0.9982608695652174	149	
HALLMARKS	HALLMARK_MYC_TARGETS_V1	0.6847662236872735	0.9982608695652174	0.9982608695652174	199	
HALLMARKS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.6066845233602918	0.9812889812889813	0.9982608695652174	46	
REACTOME	REACTOME_KERATINIZATION	2.5121195089466695	6.4945845710366e-11	3.4226460689362885e-8	70	
REACTOME	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	2.473149789203111	4.0844016018787375e-11	3.4226460689362885e-8	64	
REACTOME	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	2.168743593557457	1.423208523814861e-6	5.000205947002878e-4	49	
REACTOME	REACTOME_DNA_REPLICATION	1.9279311317211705	5.499892959330442e-6	0.0014492217947835715	147	
REACTOME	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	2.1096726214614603	1.757449817804341e-5	0.003704704215931551	56	
REACTOME	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	2.105616835687713	2.822736067162143e-5	0.004250234021126999	26	
